StudentID,Gender,Smoker,Sleep_Schedule,Study_Habit,Cleanliness,Social_Personality,Visitor_Frequency
269,Male,No,3,4,2,1,1
270,Male,No,3,2,5,5,5
271,Female,No,4,2,1,2,5
272,Female,No,1,4,5,3,5
273,Female,No,3,2,5,4,4
274,Female,No,3,3,2,4,1
275,Male,No,2,3,2,2,1
276,Female,No,5,2,5,5,4
277,Male,No,1,5,5,4,3
278,Female,No,2,4,5,2,2
279,Male,No,4,3,2,1,1
280,Female,No,4,5,5,5,2
281,Female,No,3,2,5,3,4
282,Female,No,3,5,4,4,3
283,Female,No,4,1,1,2,3
284,Male,No,3,3,3,1,3
285,Female,No,1,2,1,3,4
286,Male,No,3,4,4,2,5
287,Male,No,5,2,3,2,5
288,Male,No,3,4,5,3,2
289,Male,No,2,2,4,1,5
290,Female,No,1,5,5,1,5
291,Male,No,2,5,2,5,3
292,Male,No,2,5,4,4,3
293,Male,No,5,1,2,3,2
294,Female,No,1,4,4,3,1
295,Female,No,1,5,4,3,2
296,Female,No,1,1,2,1,2
297,Female,No,1,4,3,4,4
298,Male,No,1,2,1,5,4
299,Male,No,5,1,5,2,2
300,Female,No,3,3,4,2,2
301,Male,No,2,1,5,3,2
302,Male,No,1,1,2,4,5
303,Male,No,3,4,5,1,4
304,Female,No,3,2,2,4,2
305,Female,No,2,3,5,4,3
306,Male,No,5,5,1,1,3
307,Female,No,4,5,1,3,5
308,Female,Yes,4,1,1,4,5
309,Female,No,3,4,1,2,1
310,Female,No,2,4,1,1,1
311,Female,No,4,5,1,5,1
312,Male,No,3,3,2,3,5
313,Female,No,5,2,4,1,5
314,Male,Yes,4,3,5,5,5
315,Male,No,3,2,1,5,3
316,Female,No,3,5,2,4,5
317,Male,No,1,2,2,4,3
318,Male,No,5,4,2,4,1
319,Male,No,1,1,4,1,1
320,Female,No,2,1,5,1,1
321,Female,No,1,5,4,3,2
322,Male,No,1,4,3,4,2
323,Female,No,4,3,2,5,4
324,Female,No,3,4,3,2,4
325,Female,No,5,1,1,3,4
326,Female,No,1,1,1,1,2
327,Male,No,5,4,4,3,2
328,Male,No,1,4,5,3,4
329,Female,No,2,1,3,3,4
330,Female,No,1,3,5,3,5
331,Male,No,4,5,4,2,4
332,Male,No,3,5,1,4,5
333,Female,No,2,4,5,5,3
334,Male,No,1,5,5,3,2
335,Female,No,5,1,1,3,4
336,Female,No,2,1,3,3,2
337,Male,No,2,4,1,4,2
338,Male,No,1,4,5,1,2
339,Female,No,2,4,3,1,3
340,Female,No,5,3,3,2,1
341,Male,No,2,5,1,1,4
342,Female,No,5,4,5,3,1
343,Male,No,1,2,4,3,1
344,Female,No,3,2,5,3,1
345,Male,No,2,1,2,2,2
346,Male,No,3,5,4,3,5
347,Male,No,5,4,3,1,2
348,Female,No,2,2,4,4,2
349,Female,No,4,5,3,4,1
350,Male,Yes,3,1,3,5,2
351,Female,No,2,3,4,1,1
352,Male,No,3,5,3,3,5
353,Male,No,2,5,3,4,4
354,Female,No,1,3,2,1,1
355,Female,No,3,5,5,4,5
356,Male,No,4,1,5,3,4
357,Female,No,4,1,2,4,3
358,Female,No,5,3,4,5,1
359,Male,No,2,4,1,5,1
360,Male,No,3,2,1,4,3
361,Female,Yes,5,4,1,1,3
362,Male,No,3,5,2,1,1
363,Male,No,2,2,2,1,3
364,Female,No,4,3,3,4,2
365,Male,No,1,3,1,1,4
366,Male,No,4,2,4,3,4
367,Female,No,5,1,4,5,4
368,Female,No,1,2,1,3,2
369,Male,No,5,5,1,1,3
370,Male,No,2,1,1,3,5
371,Female,No,1,3,2,1,3
372,Female,No,5,2,2,4,1
373,Female,No,2,4,2,3,4
374,Female,No,4,4,5,4,3
375,Male,No,2,5,4,4,5
376,Female,No,3,4,4,2,1
377,Female,No,2,2,3,1,2
378,Male,No,2,2,2,5,2
379,Female,Yes,3,4,5,1,5
380,Male,No,5,2,5,5,1
381,Female,No,5,5,4,1,4
382,Female,No,2,1,2,4,3
383,Female,No,3,5,3,3,1
384,Male,No,3,5,2,3,2
385,Male,No,4,2,1,2,5
386,Female,No,5,1,2,5,5
387,Male,No,1,2,1,5,3
388,Male,No,5,3,1,5,5
389,Male,No,5,2,3,4,5
390,Male,No,4,2,4,5,1
391,Male,Yes,1,2,2,3,4
392,Male,No,4,1,1,4,3
393,Female,No,1,2,2,1,1
394,Female,No,2,1,4,5,4
395,Male,No,1,4,4,5,1
396,Female,No,4,3,5,1,1
397,Female,No,5,1,4,5,5
398,Female,No,1,4,3,1,4
399,Female,No,1,1,1,4,3
400,Male,No,3,1,5,3,3
401,Female,No,5,3,3,1,4
402,Female,No,2,5,2,2,5
403,Male,No,4,5,1,1,2
404,Male,No,2,1,4,5,1
405,Female,No,5,2,1,4,5
406,Female,No,1,4,2,4,4
407,Female,No,1,2,5,1,1
408,Female,No,5,2,5,3,3
409,Female,No,1,1,5,2,2
410,Female,No,1,1,4,4,3
411,Male,No,1,1,3,5,4
412,Female,No,4,1,3,5,1
413,Female,No,4,5,1,3,4
414,Male,No,3,1,4,4,1
415,Male,No,2,5,5,1,5
416,Male,No,5,5,5,5,2
417,Male,No,5,1,2,3,5
418,Female,No,5,3,2,4,5
419,Female,No,3,4,5,4,4
420,Female,No,4,2,5,4,2
421,Female,No,3,5,4,4,1
422,Female,No,5,4,3,4,1
423,Female,No,2,3,2,5,3
424,Male,No,1,2,3,3,1
425,Female,No,4,2,4,4,4
426,Male,No,4,5,5,2,5
427,Male,No,3,1,3,2,5
428,Female,No,4,3,5,3,5
429,Male,No,5,5,5,1,2
430,Female,No,5,3,1,1,1
431,Male,No,3,1,3,1,4
432,Female,No,5,1,3,2,2
433,Male,No,2,5,5,1,3
434,Female,No,3,1,4,5,4
435,Female,No,2,4,1,4,4
436,Female,No,1,2,5,2,4
437,Female,No,2,5,2,3,5
438,Female,No,1,3,2,3,4
439,Male,No,1,4,1,4,1
440,Male,No,2,5,4,2,4
441,Male,No,3,1,5,1,5
442,Female,No,5,1,3,1,4
443,Male,No,5,1,1,5,3
444,Female,No,1,1,4,5,3
445,Female,No,1,3,3,1,5
446,Male,No,3,4,2,3,1
447,Male,No,4,2,2,3,1
448,Female,No,2,3,3,5,2
449,Male,No,1,3,1,4,5
450,Female,No,5,2,2,1,4
451,Female,No,3,2,5,5,5
452,Female,No,2,1,3,5,2
453,Female,No,3,3,3,1,5
454,Female,No,2,5,2,1,5
455,Male,No,2,2,1,3,2
456,Male,No,1,2,5,4,1
457,Female,No,3,4,1,4,4
458,Female,No,3,5,4,1,2
459,Male,No,5,5,4,2,3
460,Male,No,5,2,2,5,1
461,Female,No,1,1,2,5,3
462,Male,No,1,4,2,1,1
463,Female,No,4,5,4,2,4
464,Male,No,5,2,1,3,4
465,Female,No,2,5,1,1,5
466,Male,No,3,4,2,1,3
467,Female,No,1,4,5,5,1
468,Male,No,3,3,1,1,4
469,Male,No,3,2,4,1,2
470,Female,No,4,4,3,1,4
471,Male,No,5,3,3,5,2
472,Female,No,1,3,3,3,1
473,Male,No,3,5,5,3,4
474,Female,No,1,5,2,1,4
475,Male,No,2,3,4,5,1
476,Female,No,4,5,5,3,4
477,Male,No,2,4,4,3,2
478,Female,No,1,1,4,3,4
479,Male,No,1,4,2,5,3
480,Female,No,5,3,3,5,5
481,Female,No,3,3,2,1,2
482,Female,No,3,4,5,4,3
483,Male,No,2,5,5,3,1
484,Female,No,4,5,5,4,2
485,Male,No,3,3,2,5,5
486,Female,No,5,2,4,5,5
487,Male,No,2,5,4,5,1
488,Female,No,2,4,1,4,1
489,Male,No,5,5,5,5,2
490,Male,No,4,4,4,1,4
491,Female,No,5,3,1,5,1
492,Male,No,4,5,4,2,4
493,Male,No,5,4,5,4,3
494,Female,No,5,3,3,2,5
495,Male,No,1,2,5,5,4
496,Male,No,2,4,2,1,5
497,Male,No,5,2,4,3,4
498,Female,No,5,2,4,5,3
499,Male,No,3,1,2,1,1
500,Female,No,2,5,2,4,3
