StudentID,Gender,Smoker,Sleep_Schedule,Study_Habit,Cleanliness,Social_Personality,Visitor_Frequency,Cluster
189,Male,No,1,2,1,4,1,2
191,Male,No,4,2,1,4,4,0
192,Male,No,3,2,5,1,3,3
193,Male,No,2,2,1,3,3,2
194,Male,No,2,2,4,2,5,0
195,Male,No,3,4,1,3,2,2
199,Male,No,5,3,3,3,5,0
200,Male,No,1,3,1,4,3,2
201,Male,No,2,1,1,2,4,0
203,Male,No,4,1,5,4,1,1
204,Male,No,3,2,2,1,4,0
206,Male,No,2,2,2,5,2,2
210,Male,No,3,3,5,2,3,3
211,Male,No,1,4,4,4,2,1
212,Male,No,2,4,4,4,4,1
213,Male,No,3,2,4,4,4,0
214,Male,No,1,2,5,2,4,1
215,Male,No,1,3,4,3,2,1
216,Male,No,2,1,2,5,4,0
218,Male,No,1,2,4,3,1,1
220,Male,No,3,2,3,3,3,0
221,Male,Yes,4,4,2,1,1,3
222,Male,No,2,4,4,4,3,1
227,Male,No,5,2,2,5,3,0
229,Male,No,2,4,1,3,4,2
230,Male,No,5,5,2,1,3,3
239,Male,No,4,1,1,4,1,2
242,Male,No,5,4,4,3,3,3
244,Male,No,1,3,4,5,5,1
245,Male,No,3,3,4,1,5,3
247,Male,No,4,5,5,1,2,3
248,Male,No,5,1,4,4,5,0
249,Male,No,1,4,4,1,3,3
250,Male,No,5,1,5,4,3,0
252,Male,No,5,2,4,2,2,3
254,Male,No,2,4,2,3,4,2
255,Male,No,5,5,5,5,2,1
256,Male,No,4,4,4,4,1,1
257,Male,No,2,4,5,5,3,1
260,Male,No,3,4,4,2,3,3
261,Male,No,1,2,5,3,2,1
263,Male,No,5,3,5,4,1,1
264,Male,No,4,1,2,1,3,0
265,Male,Yes,3,4,3,3,1,1
269,Male,No,3,4,2,1,1,3
270,Male,No,3,2,5,5,5,0
275,Male,No,2,3,2,2,1,2
277,Male,No,1,5,5,4,3,1
279,Male,No,4,3,2,1,1,3
284,Male,No,3,3,3,1,3,3
286,Male,No,3,4,4,2,5,3
287,Male,No,5,2,3,2,5,0
288,Male,No,3,4,5,3,2,1
289,Male,No,2,2,4,1,5,0
291,Male,No,2,5,2,5,3,2
292,Male,No,2,5,4,4,3,1
293,Male,No,5,1,2,3,2,0
298,Male,No,1,2,1,5,4,2
299,Male,No,5,1,5,2,2,0
301,Male,No,2,1,5,3,2,1
302,Male,No,1,1,2,4,5,0
303,Male,No,3,4,5,1,4,3
306,Male,No,5,5,1,1,3,3
312,Male,No,3,3,2,3,5,0
314,Male,Yes,4,3,5,5,5,0
315,Male,No,3,2,1,5,3,2
317,Male,No,1,2,2,4,3,2
318,Male,No,5,4,2,4,1,2
319,Male,No,1,1,4,1,1,1
322,Male,No,1,4,3,4,2,1
327,Male,No,5,4,4,3,2,3
328,Male,No,1,4,5,3,4,1
331,Male,No,4,5,4,2,4,3
332,Male,No,3,5,1,4,5,2
334,Male,No,1,5,5,3,2,1
337,Male,No,2,4,1,4,2,2
338,Male,No,1,4,5,1,2,3
341,Male,No,2,5,1,1,4,3
343,Male,No,1,2,4,3,1,1
345,Male,No,2,1,2,2,2,2
346,Male,No,3,5,4,3,5,3
347,Male,No,5,4,3,1,2,3
350,Male,Yes,3,1,3,5,2,1
352,Male,No,3,5,3,3,5,3
353,Male,No,2,5,3,4,4,2
356,Male,No,4,1,5,3,4,0
359,Male,No,2,4,1,5,1,2
360,Male,No,3,2,1,4,3,2
362,Male,No,3,5,2,1,1,3
363,Male,No,2,2,2,1,3,2
365,Male,No,1,3,1,1,4,2
366,Male,No,4,2,4,3,4,0
369,Male,No,5,5,1,1,3,3
370,Male,No,2,1,1,3,5,0
375,Male,No,2,5,4,4,5,1
378,Male,No,2,2,2,5,2,2
380,Male,No,5,2,5,5,1,1
384,Male,No,3,5,2,3,2,2
385,Male,No,4,2,1,2,5,0
387,Male,No,1,2,1,5,3,2
388,Male,No,5,3,1,5,5,0
389,Male,No,5,2,3,4,5,0
390,Male,No,4,2,4,5,1,1
391,Male,Yes,1,2,2,3,4,2
392,Male,No,4,1,1,4,3,0
395,Male,No,1,4,4,5,1,1
400,Male,No,3,1,5,3,3,1
403,Male,No,4,5,1,1,2,3
404,Male,No,2,1,4,5,1,1
411,Male,No,1,1,3,5,4,0
414,Male,No,3,1,4,4,1,1
415,Male,No,2,5,5,1,5,3
416,Male,No,5,5,5,5,2,1
417,Male,No,5,1,2,3,5,0
424,Male,No,1,2,3,3,1,2
426,Male,No,4,5,5,2,5,3
427,Male,No,3,1,3,2,5,0
429,Male,No,5,5,5,1,2,3
431,Male,No,3,1,3,1,4,0
433,Male,No,2,5,5,1,3,3
439,Male,No,1,4,1,4,1,2
440,Male,No,2,5,4,2,4,3
441,Male,No,3,1,5,1,5,0
443,Male,No,5,1,1,5,3,0
446,Male,No,3,4,2,3,1,2
447,Male,No,4,2,2,3,1,2
449,Male,No,1,3,1,4,5,2
455,Male,No,2,2,1,3,2,2
456,Male,No,1,2,5,4,1,1
459,Male,No,5,5,4,2,3,3
460,Male,No,5,2,2,5,1,2
462,Male,No,1,4,2,1,1,2
464,Male,No,5,2,1,3,4,0
466,Male,No,3,4,2,1,3,3
468,Male,No,3,3,1,1,4,3
469,Male,No,3,2,4,1,2,3
471,Male,No,5,3,3,5,2,1
473,Male,No,3,5,5,3,4,3
475,Male,No,2,3,4,5,1,1
477,Male,No,2,4,4,3,2,1
479,Male,No,1,4,2,5,3,2
483,Male,No,2,5,5,3,1,1
485,Male,No,3,3,2,5,5,0
487,Male,No,2,5,4,5,1,1
489,Male,No,5,5,5,5,2,1
490,Male,No,4,4,4,1,4,3
492,Male,No,4,5,4,2,4,3
493,Male,No,5,4,5,4,3,1
495,Male,No,1,2,5,5,4,1
496,Male,No,2,4,2,1,5,3
497,Male,No,5,2,4,3,4,0
499,Male,No,3,1,2,1,1,2
